c_id	c_text	date	author_id	like_count	quote_count	retweet_count	reply_count
1388472317500706800	@MCCM99 @FFF_Frankfurt Hier du Depp https://t.co/SmkCoqu6j0 und mit deinen Gewaltfantasien solltest du mal zum Arzt gehen.	2021-05-01T12:36:11Z	1329773710329454600	0	0	0	1
1394178902818443300	@HW417 @Ichbins2009 @DrStrompen @ZentralratJuden Lass mich raten.. Afd?	2021-05-17T06:32:07Z	711508448958087200	1	0	0	1
1395734685729398800	"@Wahrheitssuche7 @JrgenHgele1 @Markus_Soeder @reinerhaseloff @AfD Es hat doch mittlerweile jeder verstanden, d keiner mit d AfD will, warum es immer wiederholen?
Die gehen mir aufn Zeiger. 
Abgesehen davon, jede Partei gibt irgendeinen 💩 von sich o schlimmer noch, agiert gegen Mehrheitswillen, die sollen sich alle an ihre eigenen Nasen fassen."	2021-05-21T13:34:15Z	130628469321463e4	1	0	0	0
1391669220186931200	"2/2 Sie würde einige Leute kennen, die vom Tragen der Maske krank geworden sind ☝ und dann zum krönenden Abschluss:"" ...das Schlimme an der Pandemie ist ja gar nicht der Virus...""🥴🤬😤  das war Covid19 Egoismus at it's Best.."	2021-05-10T08:19:32Z	723475434973855700	3	0	0	0
1388477038475026400	@HohlerAli @ThomasKunzfeld @moerv_vom_doerf @JohannesNormann @SerapGueler Die nenne ich Freunde.	2021-05-01T12:54:57Z	1334190517769400300	0	0	0	0
139427048136951e4	@nothilfe Partner, langjähriger Kollege u Freund @issam_younis muss nach Ankündigung durch israel. Armee mit seiner u 300 weiteren Familien sein Haus in #Gaza verlassen. Hoffentlich passiert ihnen nichts Furchtbares. https://t.co/wEF7MbR739	2021-05-17T12:36:01Z	963806224906154e3	3	0	2	1
1403955628071174100	"@MartinaWeiss48 @Laika66753508 @reitschuster Und solange nicht alle Erwachsenen geimpft sind sind Kinder nun mal übertäger. 
Mir waren es auch lieber wenn unsere Politiker im Sommer alle Schulen mit Luftfiltern ausgestattet hätten.. Aber das ist leider nicht passiert. Spätestens nach den Sommerferien ist.."	2021-06-13T06:01:20Z	1308653501849968600	1	0	0	1
1400899053211336700	"@ABaerbock Liebe Annalena,
ich pendle täglich 160km  hin und zurück zur Arbeit.
Ich überlege, meinen Job aufzugeben, da ich es mir nicht mehr lange leisten kann, zur Arbeit zu fahren. Bus und Bahn gibt es leider nicht. Watt nu?"	2021-06-04T19:35:36Z	2787292294	171	0	9	64
1391450817652166700	"@Karl_Lauterbach solange die sogenannte grippe/corona umgeht.umso mehr geld verdienen sie.daher reißen sie auch immer und immer wieder panik hoch.
ich werde mich weder impfen lassen noch sonst was tun."	2021-05-09T17:51:41Z	1295403609635659800	41	0	0	31
1397876557767708700	@SOZlALISMUS Aber aber ... Rassismus gegen Weiße gibt es doch gar nicht 🤡	2021-05-27T11:25:17Z	1638083226	2	0	0	0
1394388149195919400	@mod_nom @DrStrompen @ZentralratJuden Und wie kommen Sie auf diese Zahl ?	2021-05-17T20:23:35Z	717439005743259600	1	0	0	0
1384280192026222600	@wasner_huber @pnp Wieso fürchte? Jede Stimme für die AfD ist richtig und wichtig. 😉😀	2021-04-19T22:58:11Z	472447110	0	0	0	0
1384129151704047600	@unuffgerescht @Mr369t @CartmanTB2 @PAOKGATE45 @erdantu @Cobeland1 @Meryem79 @neuaubing @NektarAmbrosia1 @ApoIbne @PatronKobra @Xxmanxx40D @GGahnt @Recep32449274 @YuriSch43965199 @batitrakyakiz @ArisKallimachos @Mimoun72105885 @KeremSchamberg Der ist behindert, nr o ist ein heranwachsender voller Fanatismus, er denkt seone vorfahren waren Helden anstatt Mörder	2021-04-19T12:58:00Z	1548300348	1	0	0	0
1386291610141421600	@Alice_Weidel Leni Riefenstahl... man weiß nicht ob man lachen, weinen oder kotzen soll. Aber süßer Hund. Ist wie bei Kindern, die können auch nichts für ihre Eltern	2021-04-25T12:10:50Z	1232105238993285e3	15	0	1	17
1389347579985596400	"@ZDFheute Nicht zu vergessen: Vorstand bis Behindertenförderung.
Besonders Frauen= weniger Männer. Scheiß auf Männer mit Behinderung! Drecks (gender)nazis @ECHSENxMENSCH https://t.co/omh97GaJp9"	2021-05-03T22:34:10Z	1319681233975189500	0	0	1	1
1.3932210244061921e+018	@ABaerbock @c_lindner Herzlichen Glückwunsch zu Ihrem unterhaltsamen Interview https://t.co/GmA3OkMxJL	2021-05-14T15:05:51Z	1216408985861050400	205	2	17	25
1394718227402526700	"@beje_co @JanaW_ @Kugelblitzdemo2 @welt Welche Muttersprache meinst Du denn? Alt- oder Mittelhochdeutsch? Schon mal was von Sprachentwicklung gehört?
Setzen 6"	2021-05-18T18:15:12Z	722329407579430900	2	0	0	1
1403954536893591600	@MartinaWeiss48 @Laika66753508 @reitschuster Und warum beschweren sie sich dann das es keine Impfung für Kinder gibt wenn sie es eh nicht machen lassen wollen	2021-06-13T05:57:00Z	1308653501849968600	1	0	0	1
1388611275060547600	Linke Spinner in Berlin, kein Respekt vor Eigentum, machen die Stadt kaputt und laufen mit Antisemiten und Rassisten, verherrlichen Gewaltstaaten und Massenmörder wie Stalin. Schmutz. #1Mai #b0105	2021-05-01T21:48:21Z	1310681843440799700	5	0	1	2
1404909861763272700	@Gewaltpeter @davidbest95 @greenpeace_de Halt’s Maul Peter	2021-06-15T21:13:07Z	1047482769192964100	0	0	0	0
1387003267083817e3	"@JottEsspunkt @Ahmad_BLN @SchallHeinrich @tazgezwitscher 5 Fehler in einem Satz, Respekt! Ich habe die Verhältnismäßig der Berichterstattung angeprangert - verstehst Du das? Ich habe Dir den Spiegel vorgehalten. Du nennst mich ""Vollidiot"" weil Du mir geistig nicht folgen kannst. Wer ist denn da nun der Vollidiot? 😉"	2021-04-27T11:18:42Z	1245841419769499600	1	0	0	1
1.3840942993237279e+018	"Jede(r) Kanzler(in) der mehr von  #Digitalisierung versteht und weniger korrupt ist als #CDUCSU ist mir Recht! 
#Baerbock #Kanzlerkandidat #Kanzlerkandidatin"	2021-04-19T10:39:30Z	742762111118528500	0	0	0	1
1403991727980126200	"@Laika66753508 @OrPerception @reitschuster Das war sehr amüsant. 
Schönes Wochenende noch"	2021-06-13T08:24:47Z	1308653501849968600	1	0	0	1
1390620221606609e3	@BILD @MichaLocalpixel Ist doch gut zu wissen. Die linksextreme / grüne Mischpoke wird bis zur #BTW21 schon noch dafür sorgen, dass kein normal denkender Mensch diesen absurden Quatsch wirklich wählt.	2021-05-07T10:51:11Z	558504997	2	0	0	0
1403976722555588600	@sunstar1606 @Laika66753508 @TigerTi34013939 @reitschuster Ja ne is klar. Gates, Merkel und van der Leyen aussen vorgenommen,oder was?	2021-06-13T07:25:09Z	42510258	0	0	0	1
1389142989050720300	"Wer, chronologisch, die letzten 14 Monate verfolgt hat muss, als normal denkender Bürger feststellen, daß Corona ein mieser Steigbügelhalter, für einen Systemwechsel ist. Panik, Spaltung, Strafen, Illner, Denunzierung, Verbote und gleichgeschaltete Medien.  
#Merkel #Lügenpresse"	2021-05-03T09:01:12Z	1351802260909600800	1	0	0	0
1384051328935096300	„Berliner Mietendeckel“ ist nichtig: Das Bundesverfassungsgericht hält den „Berliner #Mietendeckel” für mit dem Grundgesetz unvereinbar. Lesen Sie das Update #Immobilien &amp; Bau von Dr. Leonie Schwarzmeier: https://t.co/whI0FdJvws https://t.co/vwWyDjMPzq	2021-04-19T07:48:45Z	933703637485998100	3	0	1	0
1398594216209551400	@Melolontha12 @_Der_Ketzer_ @FreiFrank3 @herr_sin @Karl_Lauterbach @Alice_Weidel Dss Parlament hat gerade mal gar nix zu sagen, wir haben ja gerade Testpandemie mit willkürlicher Inzidenzzahl und Zerstörung vieler Existenzen. Diese Panikverbreitung alleine rechtfertigt, dass sie alle zurücktreten sollten. Die Kollateralschäden sind immens.	2021-05-29T10:57:00Z	1272100341228753e3	0	0	0	1
1388392214531817500	"@Linksfraktion @GregorGysi Ernsthaft: Ihr twittert am #1Mai „Werfen Sie ihn endlich.“? 😂😅🤣😂
Find ich witzig, aber ist polit. nicht so klug....

BTW ihr fahrt im Ex-Osten Hasskampagnen Ost vs. West? Was ist los? Das ist Populismus auf widerlichstem #fckafd-Niveau.  Ich wollte euch ja mal wählen ..."	2021-05-01T07:17:53Z	1269303689963061200	0	0	0	1
1388504414797942800	@KimThyTong @moerv_vom_doerf @JohannesNormann @SerapGueler Wenn Vietnam nicht so rassistisch wäre ... auf Grunde seines Kommunismus, würde ich ja nichts sagen ... Aber sind das eigentlich Nationalsozialisten?!	2021-05-01T14:43:44Z	1307466295	0	0	0	0
1406634561061068800	@Xrxtn @Alice_Weidel @UweJunge Meine Sexualität ist also meine Entscheidung. Soso.	2021-06-20T15:26:28Z	93054398	0	0	0	0
1394349234690969600	Erzählt bitte nicht, das seien alles nur junge verwirrte Menschen. #HassBeimNamenNennen #Antisemitismus #StandWithIsrael #b1505 https://t.co/Pfkhf0kolv	2021-05-17T17:48:57Z	1258288593241550800	1	0	0	1
1384188645846913e3	wie kann man nur so blöd sein, diese Vereinigung  von Weltverbesserern zu wählen, glauben DIE wirklich, der Rest der Welt, schert sich um diese dt. grüne Spinnerei? NIEMALS! Aber Kinder von heute, glaubt deren Scheiss, ist eure Zukunft, Wohlstand, Urlaub, Rente   #Baerbock	2021-04-19T16:54:24Z	1235198962661036e3	1	0	0	0
1406536413860991e3	@Thetruewitch @Alice_Weidel @UweJunge Dafür hat es die Pride Parade. Ich renn auch nicht mit einer Fahne der Heiligen Mutter Gottes herum, nur weil ich katholisch bin und Christen in vielen Ländern noch immer verfolgt werden.	2021-06-20T08:56:27Z	417062774	8	3	0	13
1385261478152966100	Pls #HaltDieFresseSpringerPresse  endlich. Niemand braucht noch mehr spaltung der Gesellschaft.	2021-04-22T15:57:27Z	1043803846731067400	0	0	0	0
1396003459078496300	@Karl_Lauterbach @Karl_Lauterbach woher nehmen Sie die Zahlen? Bleiben Sie bei den Fakten. Die Inzidenz sinkt. Maximal der Anteil der indischen Variante steigt, was auch am starken Rückgang aller anderen Varianten liegt. https://t.co/iBgxPXRhw9	2021-05-22T07:22:15Z	8.9666877178351206e+017	36	0	0	17
13853523569053e5	"@Kachelmann #allesDichtMachen .. oder...wie man bei eindeutigen Zahlen trotzdem zum falschen Ergebnis kommt..
Honks, alles Honks...
😂wir werden uns in einigen Jahren sehr viel zu verzeihen  haben...😂"	2021-04-22T21:58:35Z	922888321	1	0	0	0
1389205908903837700	@DrDavidBerger Kann er überhaupt Rechts, Links, Antifa auseinanderhalten??? Er sollte sich erst einmal schlau machen, bevor er so einen Müll verzapft.	2021-05-03T13:11:13Z	1000690269229023200	0	0	0	0
1388536544420638700	@PolizeiHamburg Nächstes mal sagen wir einfach, wir seine Querdenker und rennen mit Reichskriegsflaggen rum. Vielleicht wird’s dann ja was mit der Genehmigung	2021-05-01T16:51:24Z	1105665309195800600	11	0	0	0
1393488231921078300	@Andrea_Stoll_ @PhilHackemann @ABaerbock 🤦‍♀️	2021-05-15T08:47:38Z	1162425325701214200	3	0	0	0
1388415928312995800	"Danke an die Great Reset Macher BillHates, Das Merkel, den NaziProfessor und an alle anderen Eugeniker die für so einen Horror auf Erden sorgen, wegen einer Krankheit mit IFR 0,15%. Schämt euch!! Ihr seid totaler Abschaum!! 
#MerkelMussHängen https://t.co/9BGw1LUagQ"	2021-05-01T08:52:07Z	1225761646016127e3	15	0	3	0
1387366495173349400	@G_J_60 @Genossin_Anetta @Karl_Lauterbach 1 Sekunde googlen und du findest dutzende Artikel, dass Politiker über mehre Rechte für Geimpfte diskutieren. Wenn dir selbst das zu viel ist, wünsche ich dir gute Besserung 😔	2021-04-28T11:22:03Z	1270713758403317800	1	0	0	0
1396926567582941200	@TeslaKai @reitschuster Kann sich Rauchen exponentiell unbemerkt ausbreiten? Kann Rauchen oder Übergewicht die Intensivstationen innerhalb von wenigen Monaten ohne Maßnahmen überlasten? Kann ich durch Übergewicht jemand anderen schädigen ohne dass dieser es merkt? Beim Rauchen gibt es aus genau diesem..	2021-05-24T20:30:22Z	3140056353	0	0	0	2
1394993211525959700	"Ach ja, kurz vor der Sommerpause und Ende der Legislatur bietet #Giffey ihren Rücktritt an, kandidiert aber weiter für das Amt des #RegBerlin? 

Ein Schelm, wer denkt, dass da noch schnell einer SPDlerin ein Ministeramt zugeschoben werden soll. 

#Merkel sollte ablehnen."	2021-05-19T12:27:54Z	1381629644978462700	8	0	0	2
1404001023568527400	@Myrkuro @melusia @sunstar1606 @TigerTi34013939 @reitschuster Jeder Idiot kann gerettet werden ist mein Motto. Selbst ein Schlafschaf.	2021-06-13T09:01:43Z	1176218640968036400	0	0	0	0
1394181306397905e3	"@Rant_ifa @tumalwas @morgenmagazin PS: Denn es scheint als käme diese Debatte den Reuls dieser Welt gar nicht so nicht ungelegen, um jetzt 2 Fliegen mit 1 Klappe zu schlagen:

Um eigenen latenten Antisemitismus zu tarnen und für Migranten neue ""Hau ab""-Gesetze durchzupeitschen.

Also lass die Fernbedienung leben😊"	2021-05-17T06:41:40Z	980103515916984300	10	0	0	1
1391792197582966800	Jack3d durch die Nase bevor ich Bushido behindert schlage	2021-05-10T16:28:12Z	1371388821665935400	15	0	0	1
1396873322030370800	@reitschuster Da wird wieder viel Quatsch erzählt. Kinder und Jugendliche zu impfen ist aus meiner Sicht ein Verbrechen. Die ganze Impferei mit den ,genetischen' Impfstoffen kann ich nicht nachvollziehen. Warum nicht den klassischen Impfstoff von W. Stöcker zulassen?	2021-05-24T16:58:47Z	2824726631	34	0	1	10
1390614869112668200	"@markrudolph2701 @TBonitz Traurig daran ist, dass die heutige #Antifa als gewalttätiger SPD- und Linken-Sturmtrupp viele wirkliche Antifaschisten abstößt  und sogar diskreditiert.
Darum:
Jeder anständige Mensch ist #Antifaschist. Aber kein anständiger Mensch ist #Antifa."	2021-05-07T10:29:55Z	122026472658586e4	3	0	2	1
1388594101700993e3	Baerbock dechiffriert: Was sie wirklich will – und warum das so brandgef... https://t.co/ggMvmv7pGi via @YouTube  Machen,tuen, haben, nichts können, reden wie im Irrenhaus, woher, es geht. Migration aus allen Rohren und Deutschlands Kinder sind verloren ! Grauenhaft verblödet !	2021-05-01T20:40:07Z	2753305811	0	0	0	0
1398630962225991700	@Fiver_Galaxy @georgrestle Jeder vernünftige Mensch ist Antifaschist. Aber eben kein Linksextremist. Die gehören mit aller Härte des Rechtsstaats bekämpft genauso wie Rechtsextreme	2021-05-29T13:23:01Z	1215022287700856800	5	0	0	2
1387772816611844e3	@in_atmen @leipzig04349 @Laforce_61 @WagenMehr @Karl_Lauterbach Das mag ja sein. Gib halt auch in Israel Idioten. Komm mir bitte nicht mit Antisemitismus, bin mit einer Jüdin glücklich verheiratet.	2021-04-29T14:16:37Z	1346538291227713500	0	0	0	1
1399083844985315300	@Karl_Lauterbach Am Ende wird nur künstlich hergestelltes Fleisch langfristig etwas ändern. Die Menschen werden nicht mehr auf Fleisch verzichten. Wir sollten alles dafür tun, Unternehmen zu unterstützen, die „Fleisch aus dem Labor“ herstellen.	2021-05-30T19:22:37Z	2164969404	25	0	0	15
1386908932740984800	@Asmudeus @georgrestle Berufliche Existenz könnte mir nicht egaler sein. Kenne keinen von denen. Geh und Google den Initiator und sag dann nochmal die anderen seien nicht rechten auf den Leim gegangen. Diese Leute auf Biegen und Brechen zu verteidigen ist einfach scheiße. Gerade, wenn man als Jurno..	2021-04-27T05:03:51Z	1480278380	0	0	0	1
1387436416787894300	@SabineBr3 @Genossin_Anetta @Karl_Lauterbach https://t.co/UYy23FYMLI	2021-04-28T15:59:53Z	1305937362619428900	0	0	0	1
1386930659088912400	@DeslebensErnst Eben, so habe ich das vor 35 Jahren im Katastrophenschutz gelernt. Harter, kurzer #lockdown , um dann mit effektiven Maßnahmen ein Aufflammen der Pandemie verhindern. Wir haben aber keinen Katastrophenschutz mehr, nicht mal einen Krisenstab.	2021-04-27T06:30:11Z	4859022711	1	0	0	0
1403022511781130200	@Markus_Soeder Hoffentlich lesen bzw sehen Viele Ihre Warnung vor zu großer Sorglosigkeit die ich jetzt schon sehe. Alle Regeln über Bord werfen ab ins Vergnügen das kann nicht gut gehen.Ich selber halte gerne mehr Abstand u setze auch mal2 ffp2 übereinander.bleibe zuhause ist ok.	2021-06-10T16:13:28Z	1381854660106010600	5	0	0	17
1384251659505700900	"Wenn ich kein Bock mehr hab über Twitter auf

mein eigenes Smartphone erreicht werden zu können,

weil vielleicht die Leute zu behindert sind, dann

werden Sie das sicherlich rechtzeitig herausfinden!"	2021-04-19T21:04:48Z	1194595646550028300	0	0	0	1
1391038733030502400	@Karl_Lauterbach Da hier gerade sehr viele Schwurbler nur antworten, schreib ich ein dickes DANKESCHÖN Herr Lauterbach für ihre unermüdliche Arbeit, damit es ein bißchen ausgewogener hier wird.	2021-05-08T14:34:12Z	263783471	48	0	0	12
1389470501316268e3	Es ist noch vor 9 und Austrotwitter hat schon rausgefunden Tirol würde mit falsch positiven Tests absichtlich die Zahlen nach unten manipulieren. Aha. Aber über Querdenker schimpfen 😂😂😂	2021-05-04T06:42:37Z	1332268676351930400	2	0	0	0
1401612268094251e3	"@Danne79029815 @PeterWex1 @PDominke @reitschuster Heidrich war General der Fallschirmjäger..
Aber Himmler passt zu dir echt gut. 😄"	2021-06-06T18:49:40Z	1308653501849968600	0	0	0	0
1406580858237161500	@Xrxtn @philopolist @Alice_Weidel @UweJunge Bei dir langt auch ein einziger Blick aufs kleine Profil Ego, wenn du schon von Symbolik schwafelst.	2021-06-20T11:53:04Z	3109889933	0	0	0	0
1395758392887718e3	Van der Bellen ermahnt türkise Politiker zu Respekt vor Institutionen:  https://t.co/OY52JPNLgK	2021-05-21T15:08:27Z	23085695	25	0	4	3
1388862773422084e3	"@ManuelaSchwesig Das mag jetzt herzlos klingen, aber ich glaube Sie haben die Erkrankung nicht gut verkraftet. Sie errichten gerade eine Diktatur aus dem Glauben den Tod von 84 Jährigen verhindern zu können. 

Treten Sie einfach zurück."	2021-05-02T14:27:43Z	5462822	48	0	4	15
1388555109571903500	"Polizei NRW: Versammlungen am 1. Mai größtenteils störungsfrei

https://t.co/NFtIODWJXX https://t.co/jgt2xl4R9H"	2021-05-01T18:05:10Z	1935441823	0	0	0	0
1396924761893179400	"@veritas60756463 @MelBurn02025218 @Karl_Lauterbach Und andere wollen Ihre Gesundheit nicht für eine Impfung riskieren. Kann ich sehr gut verstehen! 7% der vollständig geimpften sind bereits verstorben. Natürlich nicht am Impfstoff oder an Corona, sondern eines ""natürlichen"" Todes 🙈"	2021-05-24T20:23:11Z	316008838	0	0	0	3
1384081434336317400	"Ich wähle die AfD, 
weil ich wünsche das es in Deutschland wieder mit rechten Dingen zugehen und normal werden soll.  Dazu müssen wir der linksversifften Politik ein Ende setzen. 

Rede von Dr. Gottfried Curio (17.04.2021) https://t.co/z2Ril9Ef3I via @FacebookWatch"	2021-04-19T09:48:23Z	928410770	2	0	0	1
1404019098435174400	"@CisF61 @reitschuster 😳 oh sie missverstehen das! Genau so wird Bobby bezahlt. 
Stand bei Telegramm..oder war es auf Youtube? Auf jeden Fall muss es dann wahr sein."	2021-06-13T10:13:33Z	1308653501849968600	0	0	0	1
1387794185235968e3	@MaximeDemokrat1 @Sudokusamurai1 @DimitriSoupakis @Alice_Weidel Bei allem Respekt, für diese Entwicklung ist der Islam verantwortlich. Lesen Sie die Geschichte des Taliban. Die haben Oberhand gewonnen, nicht weil die UdSSR dort Krieg geführt hat, sondern weil sich die Afghanen gegenseitig abschlachteten. Und den restlichen Unheil haben sie	2021-04-29T15:41:32Z	1354385911941902300	0	0	0	1
1388514696177795e3	@ZDFnrw @ZDFheute @ArminLaschet @DGBNRW wer von dieser lusche laschet auch nur ein einziges wort von gestern  noch ernst nehmen kann,der hat von politik keine ahnung!er holt banker merz an bord,dann kommt auch noch rechtsaußen maaßen!rechts schielt er auf das wirtschaftsgejammer und lockerungen,mit links das gegenteil!	2021-05-01T15:24:35Z	1263175215888171e3	0	0	0	0
1390721503134556200	@ainyrockstar Das ist das typische Lagerdenken, was die meisten Querdenker hinter sich gelassen haben, Stichwort Querfront. Davor haben die Herrschenden den größten Schiss.	2021-05-07T17:33:39Z	1278032720610955300	0	0	0	0
1393176206359552e3	@HammesfahrInge @DickeFaxen @reitschuster Doch, genau darum ging es	2021-05-14T12:07:46Z	1069631061699776500	0	0	0	2
1404127321800560600	@HToenne @frederic2406 @MalteKaufmann Nö, über deine.	2021-06-13T17:23:35Z	1376733670518751200	0	0	0	1
1384177684444373e3	@2cuul4u Du willst mir, die ich in etwa 50 Jahre alt bin einen Ekel einreden, den ich nicht habe! Vielleicht solltest mal ein bisschen Respekt lernen vor Frauen, die dich erfahrungsgemäß in die Tasche stecken. Kein einziger Mann in meinem Leben hat das jemals getan!	2021-04-19T16:10:51Z	916975395794292700	0	0	0	0
1393241968105468e3	@lola_pilates @shoutingcassy @Markus_Soeder Ach ja, unbelegte Aussagen als Quelle...	2021-05-14T16:29:05Z	2953854544	0	0	0	1
1386933003901972500	"@punktpreradovic @RFuellmich @reitschuster @BMJV_Bund @RegSprecher Merkel macht rückgängig! Das ist niemals auf thüringer Mist gewachsen...

Die nächste Stufe wird sein, dass Leute ohne Gerichtsbeschluss eingesackt werden und in den Knast wandern.

Die widerlichsten Pläne sind sicher schon geschmiedet!!!😐"	2021-04-27T06:39:30Z	3079166525	0	0	0	0
1405531900114915300	@BCasapietra @LibertyLucas26 @greenpeace_de und Du auf dem Niveau von Denkmonster A. Bearbock? Wenn die Schuhgröße dem IQ entspricht........ 😂	2021-06-17T14:24:53Z	2402155152	0	0	0	0
1389114018644779e3	@HectorBShayne @thegreatanderl @BeaKabisch @JuliusBetschka 2) dass keine Maßnahmen verändert wurden. Sie werden dann weiter zum moralischen Rundumschlag ausholen: mir vorwerfen ich würde Menschenleben riskieren, meinen Sommerurlaub wahrn. Wollen , vielleicht fliegen links und rechts noch ein paar Querdenker oder schwurblerbegriffe rein	2021-05-03T07:06:05Z	1159843722944643e3	0	0	0	0
1388556062668861400	"@JU_MucNord gaaanz still sein ihr Lümmel.🥱😎  Hier ist gar nicht soviel Platz um fragwürdiges Personal und eure Affären aufzulisten. Gibt ja ne Liste korrupter Politiker. Union führt aber einen ham wa aktueller Fall👇👌🥳
https://t.co/anhgl6nhdp"	2021-05-01T18:08:58Z	1382292264324628500	1	0	0	0
1389508938073313300	#Assistenz im #Krankenhaus muss bezahlt werden – jetzt! / #Behinderung #Inklusion #Deutschland #Hilfe #News #Berlin #Teilhabe https://t.co/imJEhWDcGY https://t.co/wyA55Aqz9Y	2021-05-04T09:15:21Z	888399491023466500	7	0	5	0
1388484441056686e3	"Merkel""bedankt"" sich. 
Wir auch:  Für die Einschränkung der Grundrechte,  der Freiheit, die Zerstörung von Existenzen und Zukunft, für die schamlose Ausbeutung der Steuerzahler, für die Verachtung unserer Werte und Gesellschaft...und ganz besonders für die widerliche Heuchelei! https://t.co/ldIbKcR4eD"	2021-05-01T13:24:22Z	820694990603034600	10	0	1	1
1385126008722968600	seit einer woche wieder arbeiten das erste was ich mache caprisonne auf meinem schreibtisch verteilen weil ich zu behindert zum trinken bin	2021-04-22T06:59:09Z	3330082919	11	0	0	0
1391632068283715600	@MarianneElke @AlleDoerfer Vielleicht auch mal den Top-Kommentar posten. Na, hat Franz Schelm sich über Querdenker aufgeregt? Nein! Die demonstrieren für irgendwelche Verschwörungstheorien und nicht gegen Europas größten Klimasünder. https://t.co/EFFiR9OGOf	2021-05-10T05:51:55Z	4840111523	0	0	0	0
