	c_text	target
41	Wenn ich Medien und gleichgeschaltet im Zusammenhang mit unserem Land lese bekomme ich immer das würgen Dieses Framing dient doch nur der Unterdrückung von Diskussionen durch rechte Das Schauspieler so etwas mitmachen ist einfach nur zum 	1
42	Der Westen wird grüner Arabischer vielleicht aber doch nicht grüner 	1
43	Uns geht es sehr gut verglichen mit anderen Orten auf der Erde Die Pandemie wird vorbei gehen und alles wird sich wieder normalisieren Ich hoffe dass sich dann so mancher Querdenker vor seinen Kindern und Enkeln schämen wird wenn sie über dieses Kapitel der Geschichte reden 	1
44	Ich warte weiter auf Ihr Statement zum und zur Entschuldigung bezüglich Ihrer Lüge zum Durchschnittsalter der 	0
45	come to rhineland palatinate the land where milk and honey flows and a wisdom queen rules ich schreib das auf Englisch weil RLP auf Englisch so ulkig klingt 	2
46	Witzig auch weil du der Meinung bist das es keinen Aufschrei in Dt Geben würde wenn die Impfung so schlimm wäre 	0
47	Und die Kapitänsbinde hm 	2
48	Man muss nur an den Unsinn glauben den man schreibt oder Wir wären viel weiter fast frei hätten wir den totalen Lockdown auch tagsüber schon vor einem Jahr durchgeführt wie von seriösen Virologen empfohlen 	2
49	Es wird Zeit dass Angela Merkel für Jens Spahn ihr vollstes Vertrauen ausspricht 	0
50	Ich finde Deine Berichterstattung sehr viel verstörender Aber anscheinend bekommst du das Geld von der Afd immer in der Dumm Skala Von könnte auch aus der Bild sein wenig Geld bis so dämlich das es auch Afd Wähler verstehen viel Geld Ist ja alles dabei 	0
51	Das hat Karlsruhe denen erzählt 	2
52	Was es trotzdem JETZT braucht Kohleausstieg massiver Ausbau Erneuerbare weniger Fleisch Methan Tierschutz Agrarwende Energiedämmung höherer Spritpreis keine Straßenpanzer Kerosinsteuer weniger Inlandsflüge Bahnausbau ÖPNV Ausbau amp frei 	2
53	ach Ihr seid Antifa die schwarz Vermummten die in der Stadt randalieren Autos anzünden Scheiben einschmeißen alle möglichen Wände voll schmieren Danke für die Info Wenn Sie jetzt bitte noch mitteilen könnten wer der Kopf der Zerstörungsbande ist 	1
54	Auch wenn Kommentare zu viel für AnneWill Fokus auf Maßnahmen Energiewende EEG Verkehr Renaturierung Schutz alter Wald Moore vernässen Und btw gibt zur Klimakrise auch noch Artenkollaps 	2
55	Ständig werden die unzähligen toten vertriebenen oder um ihre Lebensgrundlage beraubten Menschen ignoriert denen die Klimakatastrophe keine Zukunft lässt Die Hasswelle gegen eure kritikwürdige aber mutige Aktion ist reine Heuchelei Heute habt ihr unsere Solidarität 	1
56	Der Holocaust hat nicht in islamischen Ländern stattgefunden 	2
57	Tiefer Respekt vor sich ständig diesen Müll von den Kaufmanns Brandners und der fckafd reinzuziehen um diese zu entlarven Da braucht es doch ohne Ende noafd 	1
58	Für Großunternehmen kein Thema Kleine Familienunternehmen sind aufgrund der drückenden Steuerlast dann gezwungen Mitarbeiter zu entlassen oder alternativ in den Konkurs zu gehen 	1
59	Verstorben nach einem positiven mit unabhängig von der Todesursache 	1
60	es gibt einen Grund für Flugverbotszonen Fußballstadien sind solche Das Verletzen einer Flugverbotszone ist eine schwerwiegende Straftat 	2
61	Mehr Bürgerbeteiligung bei politischen Entscheidungen kommt dann 	2
62	Ich bleibe skeptisch die schreien jetzt schon nach Lockerung kaum war man im lockdown sie kapieren es halt nicht seit Herbst Hab ne bar mach bisschen im Sommer außen aber ab Herbst rechne mit erneuter Schließung 	2
63	Verzweifelter Kampf gegen die Maßnahmen das Virus einzudämmen unter Missachtung aller Warnungen von Wissenschaftlern wurde nach drei Jahren beendet Jetzt massiver Lockdown 	1
64	In jedem Handbuch für Pandemie Bekämpfung kann man nachlesen dass man einen Polizeistaat errichten muss um der Bedrohung Herr zu werden Versteht ihr denn einfach nicht dass es nur zu eurem Besten ist wenn man euch den Schädel einschlagen möchte 	1
65	Abgehalfterte Schauspieler Es gibt deutlich größere und bekanntere Schauspieler die für so ein scheiß sich nicht hingegeben haben Egal ob es Satire sein soll oder nicht ist die Außendarstellung einfach totaler Müll gewesen und Querdenken und AFD feiern das ab GG 	1
66	Ach echt soll ich oder sollen Sie Ihr sollt uns gar nicht über Geschichte unterrichten ihr seid die Ursache für diesen Holocaust wieso soll die Palästinenser dafür bezahlen Wenn Sie darüber reden dass die Juden sind die Hauptbewohner das stimmt nicht steht auch in Torah 	1
67	Diese hätten auch ne Kampagne für sichere Bildungseinrichtungen effiziente Pandemiebekämpfung Solidarität mit Indien machen können Was machen Sie Suchen sich Groupies bei Leerdenkern amp Rechten Super klasse gemacht Nicht 	1
68	Er doch bestimmt rechts oder Bitte sagen Sie es doch um Himmels Willen Er muss es doch sein Sagen sie es doch bitte Sie wollen es doch auch Sie haben doch die Beweise Sie schreiben es doch Er muss rechts sein SAGEN SIE ES BITTE allesdichtmachen niewiederaufmachen 	0
69	Fickt euch und eure Drecks nazi Bullen 	1
70	Und noch etwas Es gibt Medikamente die scheinbar recht gut wirken Dreimal darfst du raten warum die in Deutschland noch nicht eingesetzt werden Da kanns gar nicht lange genug gehen mit der Zulassung Aber bei Impfstoffen reicht eine Notfallzulassung 	2
71	unbeabsichtigte Falschanwendung fällt eventuell erst viel zu spät oder nie auf 	2
72	GRUENEN Baerbock fordert man muss nun kein botanischen Wissen haben aber eine PiSSnelke erkennt jeder Solches heuchlerisches Gesindel Gruene amp vorne Klimaschutz und hinterrücks zünden die Kriegstreiber Apropo wieviel Gruene besitzen eigentlich Villa Berlin 	1
73	Boris erwachsene Kinder können tun und lassen was sie wollen Eltern sind dafür nicht verantwortlich zu machen sonst sind wir wieder bei Sippehaft Söder bietet weiß Gott genug Angriffsfläche da muss man nicht auf Kinder verweisen 	0
74	Ach ja der Andreas mit der großen Nummer dahinter Wunschdenken 	0
75	Ist Neubauer aus dem Alter für FFF Wenn ihr so viel an Klima liege sollte sie Every Day for Future ins Leben rufen und aufhören nur sinnlos zu labern 	0
76	Wenn der merkt das man auch in der Türkei aufwacht und in nem Lockdown ist hat der schnell ein anderes Thema und jedem der jetzt noch nicht gemerkt hat das der Typ ein Spinner ist dem ist eh nicht mehr zu helfen 	0
77	Ich glaube nicht dass meine Tochter das so sieht 	0
78	Was schreibt sie Sie hat mich leider gesperrt Übrigens für freundliche Nachfragen 	0
79	Auch hier ist klar das sich der Faden bis zu Merkel ins Kanzleramt spannt 	0
80	Die AfD ist eine faschistische Terrororganisation Halt die Fresse Nazi 	1
81	ist ein Treiber Die CDU ist überraschend sprachlos Und einige Möchtegerndenker wollen sogar Staatssekretärinnen den Mund verbieten Lesetipp für Sie und Ihr Team Was vorher unsagbar war bekommt immer mehr Zulauf 	2
82	Häh Wie könnte jemand Kanzlermaterial sein wenn er seit Jahrzehnten in der Politik sitzt und erst auf Argumente hört wenn sie ihm bei Anne Will an den Kopf geschmissen werden Dieser Mann hat eigenhändig seit Jahren Klimapolitik versagt Mit Anlauf Trotz aller Argumente 	0
83	Ich würde gerne wissen unter welchen Bedingungen man als Rentner in Russland Einwanderung kann Ernstgemeint Das ist bei mir in Jahren soweit Vielleicht fallen Ihnen ein paar Broschüren in die Hand 	0
84	Laschet als Kanzlerkandidat mit einem starken Votum der CDU ist der Widerspruch schlechthin Er ist Wahl Baerbock Ist Wahl und Scholz der Kandidat der Wahl Partei SPD Der Rest ist entweder braun AfD rote Socke oder hat sich schon mal verpisst FDP KFrage 	0
85		2
86	Meine Hoffnung ist dass Herr laschet gewinnt und Söder verliert dieser Mann taugt zu nichts Söder ist ein übler Blender wer ihn wählt wählt einen looser 	0
87	diese Bundesnotbremse erscheint mir eher wie ein Brandbeschleuniger IrrungenUndWirrungen 	2
88	Ich habe auch schon über Auswanderung nachgedacht Aber wo ist es wirklich besser als hier Was nützt schöneres Wetter geringere Abgaben und Kosten wenn das Gesundheitssystem nichts taugt Zur Zeit habe ich das Idealziel noch nicht gefunden 	2
89	AfD Scheiße CDU Scheiße FDP Scheiße Nicht wahr Es lebe der neue Sozialismus 	1
90	Heute ist ein Tag um unsere Solidarität mit Israel auszudrücken Lasst euch nicht mehr alles gefallen von den Terroristen der Hamas und ich hoffe es lässt sich niemand von der Armada an Lügentrollen auf Twitter beeinflussen die die Angreifer als Opfer darstellen 	1
91	Ähm ja 	2
92	Solange Antisemitismus in den Bundesministerien praktiziert wird wie im Bundesministerium für Bildung und Forschung ändert sich in nichts 	1
93	Das nennt man Planwirtschaft 	0
94	Und weil es so schön war noch ein paar just for you 	0
95	Armin Parselmouth Laschet Kohleausstieg klimaneutral Und wer den Raum verläßt der knipst das Klima aus Mann Mann Mann 	0
96	Ganz genau sie sagen es der Mensch ist einfach ein Neurotiker es geht nur um sein gestörtes Ego 	0
97	FridaysForFuture wie wäre es denn mit einem thursdayforhealth Oder auch Monday Tuesday Ihr habt ja schon gezeigt dass Ihr was bewirken könnt Macht darauf aufmerksam dass Ihr nicht durchseucht werden wollt 	1
98	Das ist Sie ist bei den Grünen dumm wie Scheiße und natürlich will mal so werden wie All Cops Are Baerbock 	0
99	Das Pflegepersonal kriecht auf dem Zahnfleisch und du feierst so eine unsolidarische Scheiße von gut betuchten während Du der PdL vorwirfst nichts mehr mit der arbeitenden Bevölkerung zu tun zu haben 	1
100	Der Hassprediger Spangenberg von der AfD hat kein Problem damit eiskalt den DiviGate weiter voran zu treiben FakeNews gehören ja zum Tagesgeschäft der rechtsextremen Volkspartei FCKAfD NoAfD FCKNZS NoNAZIS AfDVerbotJETZT BTW Corona Divi 	1
101	Der Linksterrorismus zeigt seine hässliche Fratze Und die ganzen Wohlstandslinken wie FFF BLM Aktivisten sind auf dem Weg es ihnen gleich zu tun Diesen Abschaum gilt es zu bekämpfen 	1
102	Ja leider hat sich dieses ausgrenzende Denken in großen Teilen der Gesellschaft erhalten gilt leider für alle Parteien aber speziell für die noafd und die WerteUnion Die Revolte im Denken muss permanent weiter geführt werden 	0
103	Politiker Journalisten und Akteure der Zivilgesellschaft verharmlosen linke Gewalt und machen sie so salonfähig Wer Enteignungsdebatten von Wohnungsbesitzern führt wie SPD Grüne und Linkspartei oder wenn Medien wie das ZDF just am Tag der Ausschreitungen über ihren 	2
104	Ok Danke Ich kenne jetzt die Impftermine von sämtlichen Omas Opas Richter Innen Politiker Innen Hunden Katzen Twitterusern von und verspüre immer noch keinen Impfneid in Monat der Pandemie mit Kids Home What wrong with me 	2
105	Diskrminalisirung Gegen Menschenhändler Ist Ein Muss Deutscher dummshit NaZi bulle 	1
106	Impfstoff wegwerfen ist eine Verhöhnung von Ärzten und Pflegern die Persiflage von privilegierten Lockdown Liebhabern nicht 	1
107	Komisch keiner der seine medial in Szene setzt hat eine Ahnung wo er sich angesteckt haben könnte Ehrlich ICH habe keine Ahnung ob ich das glauben sollte amp ob nicht die fidelen Clips eher untermauern dass die meisten Verläufe leicht sind Gute Besserung 	0
108	Das Problem darin dass heutzutage soviel direkt als Nazi betitelt wird liegt darin dass Personen wie Sie und ihre widerliche antidemokratische Nazi Partei dann tatsächlich glauben ein Argument gegen die Anschuldigungen zu haben 	1
109	untersucht Alle wurden nach befragt Kopfschmerzen Müdigkeit und Schlaflosigkeit Ergebnis kein signifikanter Unterschied in den Antworten der Schüler egal ob sie erkrankt waren oder nicht 	1
110	Wenn man Menschen permanent vorhält das sie rechts rückständig oder gar ein Nazi seien wenn Ihre Meinung von der Berliner Politik und Medienblase abweicht weil die Menschen eine ganz andere Lebensrealität haben darf man sich nicht wundern wenn die irgendwann so wählen 	2
111	Sie tun mir leid Ganz offensichtlich sind Sie ein unglücklicher Mensch Ich wünsche Ihnen alles Gute Hoffe für Sie dass Sie den inneren Troll bezwingen können 	0
112	In Germany we say Wir brauchen FFF Germany damit sie unser Klima retten We say Dieses arbeitslose faule Gesindel soll erstmal arbeiten gehen dann dürfens a mitreden And I think great 	1
113	Ich finde es korrekt dass man sich nicht selbst als Antisemit bezeichnen muss um durch seine Sprache seinen Antisemitismus auszudrücken Das sollte uns reichen Ein Lügner wird sich selbst auch nicht so nennen aber durch Lügen entlarvt werden 	1
114		2
115	Der totale Wahnsinn man denke nur an die zig Hunderten toten Ärzte u Pfleger aus den letzten Jahrzehnten die täglich zig Stunden mit Masken arbeiten 	1
116	das problem ist dass die industrielle landwirtschaft als argument für optimierte pflanzen herangezogen wird dabei ist erstere aber das übel natürlich gibt es immer mehr mäuler zu stopfen aber trotz allem ist das ganze zu einfach zu sagen gentechnik und alles ist gut 	2
117	Sowie deine Asi Freunde eins drüber Man kann alles nachlesen aber wenn selbst das zu schwer ist Übrigens ist andere als Nazi zu betiteln ne Straftat das geht jetzt auch raus 	0
118	Unsere Bundeskanzlerin 	0
119	Es gab Zeiten da konnten Monitor Journalisten noch souverän mit Kritik umgehen Beachtliche Dünnhäutigkeit die wohl ihre Gründe hat 	1
120	Ab jetzt schon steht im neuen Ermächtigungsgesetz 	2
121	Gehts ihnen gut 	0
122	es ist nicht der Impfneid es ist einfach die Angst Mehr isses nicht Ja meine Dummheit aber aber das Menschen wie mein Bruder der beim einrichten eines Testcenters geholfen vorgezogen ist zeigt die Fehler in diesem System 	2
123	Habe gerade einen Haufen Leute geblockt die die feiern Bin überzeugt dass ich einen Teil davon vor einigen Tagen schon einmal geblockt hatte haben manche einen 	0
124	Bringt das Impfen überhaupt was haben Erstimpfung und Zahlen der Infektionen und Toten bleibt unverändert hoch Es werden vor allem Risikogruppen geimpft u der Effekt ist gleich Null 	2
125	Die Menschheit verblödet 	2
126	Ja Gegen Diskriminierung 	2
127	Jede Situation wird individuell betrachtet und greifen wo nötig ein Wir wünschen Ihnen einen schönen und friedlichen Mai sa 	2
128	Hat die SPD in Thüringen vor nicht allzu langer Zeit nicht ein des Landtages in ihre Fraktion aufgenommen Einfach mal sacken lassen 	1
129	Noch schlimmer wenn man mit Halbwissen im Unterricht andere Menschen beeinflusst 	2
130	In was für einem Land lebe ich denn Und wie dumm können Schauspieler sein Diese Kampagne allesdichtmachen ist ja der reinste Horror Der rechte Bodensatz feiert Um Himmels willen seit wann ist braun sein wieder gesellschaftsfähig 	1
131	Wie sind wir eigentlich in die Situation gekommen dass viele junge Menschen öffentlich Urteile über Menschen fällen ohne dabei Belege liefern zu können Und wie kommen wir da wieder raus Ist das newnormal neubauer annewill 	2
132	Ja wenn meine Antwort auf alles ist das die bösen Eliten uns alle umbringen wollen ist dann ist man im Land der Verschwörungsmythikern gelandet Sprich das was an den Querdenker kritisiert wird 	1
133	An alle Impf Fanatiker und ZeroCovid Idioten Glaubt ihr wirklich dass man mittelfristig ohne Impfung nicht in den Flieger kann Seit ihr so dumm Wenn die USA öffnet ohne Impfflicht was denkt ihr wie schnell die Esel in Europa nachziehen 	1
134	Sie leugnet den Klimawandel protzt damit sich nicht impfen zu lassen teilt und liked rechte Beiträge Was erwarten wir eigentlich von so jemandem 	0
135	Aber sicher ist doch Wenn er Impfschaden da ist dann wollen sie aber Hilfe nein das wollen sie nicht weil sie wollten es ja probieren gelle Sie wollen das Russische Roulette mit den Folgen 	2
136	Bei aller Sympathie einen Bildungsausfall zu attestieren ist eine nur schwer verzeihbare und völlig haltlose Ohrfeige für die Lehrkräfte Schülerinnen und Schüler sowie deren Eltern die in den letzten Monaten Unfassbares geleistet haben 	1
137	Armer kleiner Waldgermane 	0
138	Das ist nun wirklich naiv Natürlich wird der Verein Querdenken nicht zum Umsturz aufrufen weil es ihn dann postwendend nicht mehr geben wird Aber die Anhänger auch die Rädelsführer tun es immer wieder Und handeln auch danach Siehe Angriff auf Reichstag 	1
139	Ich weiß nicht wen das hier alles betrifft aber bitte informiert euch nicht bei Accounts die Israel in Anführungszeichen schreiben oder Inhalte teilen in denen das getan wird oder wo das Existenzrecht des Staates Israel mehr oder weniger direkt in Frage gestellt wird 	1
140	Sie haben es sogar belegt In den Naturwissenschaften gibt es keine Beweise sondern immer einen Haufen von Belegen Wissenschaft ist nicht so Ihre Stärke 	0
141	Kundgebung bekannter Reichsbürger abseits der und fragwürdigerweise INNERHALB siehe Bild der Bannmeile Besser kann der Spiegel hier gar nicht die damals falsche Berichterstattung zum Reichstagssturm belegen 	1
142	Wenn dir der grips gehlt um geopolitik zu verstehen ist es nicht meine aufgabe dich aufzuklären 	0
143	Dein Kommentar bestätigt nur meine Antwort Ich steige übrigens jeden Tag auf mein Fahrrad Man muss keine Menschen gefährden um für den Umweltschutz zu sein 	1
144	Habe gestern anfänglich die Debatte live verfolgt Wie die AfD sich da wieder präsentiert hat war typisch destruktiv asozial und bewusst gesundheitsgefährdend für alle Anwesenden Wird Zeit dass dieser Mob der nichts als boshafte Propaganda verbreitet entsorgt wird 	1
145	Wie kann man nur sowas retweeten Verrückte gibt überall Man denke nur an Merkel Spahn Lauterbach amp 	0
146	Hatte mich eben mit der Artzhelferin unterhalten Sie meinte das ihr Kind heute Sportfest hat bei uns in RLP die Kinder müssen beim Sportfest draußen im Freien Maske tragen bei zu erwartenden Grad Hitze heute es ist wirklich eine Kinder und Menschenquälerrei was los ist 	1
147	Dummheit hat keine Rasse und muss auch so wenig toleriert oder akzeptiert werden lol 	2
148	Bundesnotbremse tangiert mich peripher da ich sowieso mit dem Arsch zu Hause hocke Jedoch hasse ich Bevormundungen jeglicher Art DAS ist die größte Bevormundung die ich jemals erlebt habe 	2
149	Über so viel Schwachsinn kann man sich gar nicht ärgern Sie kommen ohne Feindbild auch nicht wirklich gut durchs Leben oder 	0
150	Du bist offensichtlich echt dumm wie Aber gut du stellst es ja gerne auf Twitter zur Schau deshalb wird es schon deine Absicht sein der Welt zu zeigen dass es einfach hoffnungslose Fälle gibt die sich nicht beheben lassen Geh nach Polen keiner braucht dich in D 	0
151	Ja ich bin mir sicher die Kinder die letzte Woche gestorben sind waren die allergrößte Gefahr für Israel Da kann man schonmal Phosphorgranaten draufschmeißen 	2
152	Du bist zu ungebildet und infantil für gute Gespräche 	0
153	Thorsten Schulte demaskiert von Super Ansar Ganz Deutschland kennt nun sein wahres Gesicht via ThorstenSchulte Ansarberlin Querdenker 	0
154	Aaah die Langzeittoten 	1
155	Wow 	2
156	Ich vermute wenn ich einen Querdenker erschieße dann bin ich genauso dumm wie ein Querdenker weil es immer noch die Aufgabe von der Polizei ist aber ich habe das Recht meinen Hass gegenüber Querdenker zu veröffentlichen 	1
157	Weil es ein installierter Merkel Mann ist kann das der Grund sein Aufwachen junger Mann 	0
158	Trau keiner Partei die Harz und Inzidenzwertgrenze größer zugestimmt hat Vorschlag NoCovid und endlich Wochen alles zu Wollt ihr uns den Tod verkaufen ihr da auf eurem hohen Ross Pfui Eine SPD die den Arbeitgebern in Hintern kriecht kann weg 	1
159	Macht das denn irgendeinen Unterschied Unfassbar dieses gegeneinander aufrechnen Und schlimmer als VW sind wohl andere Unternehmen mit anderem politischen Hintergrund die bei der EM Sponsoren 	1
160	Realität und Freiheit sind hohe Ideale Schade dass sie durch großmäulige Ignoranten wie Sie mißbraucht werden 	0
161	Dies zu verschweigen zeigt sehr deutlich wie die HaltDieFresseBild am Boden angekommen ist Die hässliche Fratze die wir schon von den Querdenken kennen hetzen und Lügen um von den geistig flachen Geld sammeln zu können HaltDieFresseSpringerPresse Schämt euch 	1
162	Du bist echt ne Lachnummer Ich wiederlege deine Schießsbefehl Lüge Und deine einzige Antwort ist Ja ja Lügenpresse Und schwurbelst was von Putin Du bist das beste Anschauungobjekt wie dumm und ungebildet es in Deutschland abgeht Da fällt mir nichts mehr zu ein 	0
163	Jetzt kommt ja die Bundesnotbremse Das Versagen der Politik ist völlig unfassbar Ich hätte das niemals für möglich gehalten Niemals Kein einziger Spitzenpolitiker in diesem Land taugt was Nicht einer Alles Blender und Nichtsnutze UNFASSBAR 	1
164	Das erschreckende für mich ist Sonst wenn Cops irgendwo mal ausgetrickst werden also noch nichtmal auf die Fresse bekommen kommen die nächstes mal mit Kräften Bei den selbsternannten irgendwie nicht oder bekomm ich das nur nicht mit 	1
165	Lusche Laschet ist ganz alleine schuld am Niedergang der CDU Nur um sich gebauchpinselt zu fühlen opfert er die Führung in Deutschland Was für ein mieser Charakter 	0
166	Wenn Politiker wie Bernd Lucke AfD über ausländische Arbeitslose sprechen und sie als Bodensatz unserer Gesellschaft bezeichnen Opferrolle mal wieder on fleek 	1
167	Sind Sie wirklich so oder wollen Sie mich nur verarschen 	0
168	Wobei man schon fragen darf ob die direkte Ansprache als afdp Spinner nicht justiziable Grenzen überschreitet Und ich hab auch keine Lust sowas mit meinen Gebühren zu bezahlen um ehrlich zu sein 	2
169	Ich kleiner kann ja zum Glück noch etwas sagen über Querdenker Schwurbler und andere Pandemieleugner ohne dass sie mir die TL vollrotzen Ich kann sagen dass das Vollidioten sind denen man mal so richtig ins Gehirn gemulcht hat Passiert nix Geil 	1
170	Es ist eine Schande was hier passiert jetzt regiert Merkel bis ins Wohnzimmer diese Person ist ein Satan und Monster mich gruselt es vor dieser Person das ist kriminell 	0
171	Das Handsymbol zeigt doch ich trau mich es ja gar nicht in den Mund zu nehmen Arschloch 	2
172	Ja und je nach Variante können Werte von eine Ansteckungsgefahr bedeuten oder eben nicht Bei Alpha und Delta reicht halt schon weniger Virus als beim Wildtyp Daher ist ein hoher beim Wildtyp wenig bedenklich bei Alpha oder Delta aber schon eher 	2
173	Mal wieder krasse Kommentare hier Die bürgerliche Mitte steckt teilweise so tief im Arsch der Polizei dass sie ganz braun wieder rauskommt 	1
174	Wenn Dich das erschüttert solltest Du mal auf eine Querdenker Demo gehen wenn irgendwelche Asoziale Querdenker auf Polizisten einprügeln oder Herr Haintz auf Frauen losgeht Ganz starker Typ 	1
175	Armes Kind mit solchen Eltern 	0
176	Du weißt dass homosexuell ist und sogar mit einer Migrantin zusammen lebt Du bist einfach solch ein Kind 	0
177	Das trifft vielleicht für die Wähler der AFD zu aber nicht für deren Führungspersonal 	1
